Deal_number,Deal_name
1,001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx
2,001 - Air Transport Services Group Inc acquisition of equity interests of Omni A.docx
3,001 - Allscripts Healthcare Solutions Inc acquisition of subsidiary equity inter.docx
4,001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx
5,001 - Assurant Inc acquisition of stock of GTI Holdings Corp.docx
6,001 - Augme Technologies Inc acquisition of assets of Hipcricket Inc.docx
7,001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx
8,001 - Cinedigm Corp and Future Today Inc merger.docx
9,001 - CoStar Realty Information Inc and Network Communications Inc merger.docx
10,001 - Ellie Mae Inc and Velocify Inc merger.docx
11,001 - Equity Bancshares Inc and Kansas Bank Corporation merger.docx
12,001 - Franchise Group Inc and American Freight Group Inc merger.docx
13,001 - Full House Resorts Inc acquisition of equity interests of Majestic Mississ.docx
14,001 - Graco Inc acquisition of equity interests of High Pressure Equipment Holdi.docx
15,001 - Hubbard Radio LLC acquisition of certain assets of Emmis Communications Co.docx
16,001 - KKR acquisition of certain assets and subsidiary equity interests of Campb.docx
17,001 - Liberty Utilities Co acquisition of stock of New York American Water Compa.docx
18,001 - Mainstreet Health Investments Inc acquisition of equity interests of Care .docx
19,001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx
20,001 - Nanometrics Incorporated acquisition of stock of 4D Technology Corporation.docx
21,001 - Nautilus Inc acquisition of stock of OF Holdings Inc.docx
22,001 - PAE Incorporated and Metis Solutions Corporation merger.docx
23,001 - Rapid7 Inc and RevelOps Inc dba Logentries merger.docx
24,001 - Spirit of Texas Bancshares Inc and Comanche National Corporation merger.docx
25,001 - Triumph Business Capital acquisition of certain assets of Interstate Capit.docx
26,001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx
27,002 - Accelrys Inc and VelQuest Corporation merger.docx
28,002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx
29,002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx
30,002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx
31,002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx
32,002 - Dun And Bradstreet Inc and Credibility Corp merger.docx
33,002 - Envestnet Inc and PIEtech Inc merger.docx
34,002 - F5 Networks Inc and Shape Security Inc merger.docx
35,002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx
36,002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx
37,002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx
38,002 - KBR Inc acquisition of stock of SGT Inc.docx
39,002 - Kerry Group PLC acquisition of stock of Fleischmann's Vinegar Company Inc.docx
40,002 - Lehigh Gas Partners LP acquisition of certain assets of Atlas Oil Company.docx
41,002 - LogMeIn Inc acquisition of stock of Marvasol Inc dba LastPass.docx
42,002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx
43,002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx
44,002 - Merit Medical Systems Inc and Cianna Medical Inc merger.docx
45,002 - Proto Labs Inc acquisition of equity interests of The Rapid Manufacturing .docx
46,002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx
47,002 - Systemax Inc acquisition of subsidiary equity interests of TAKKT America H.docx
48,002 - The Home Depot Inc and Interline Brands Inc merger.docx
49,002 - Total System Services Inc and Cayan Holdings LLC merger.docx
50,002 - Universal Corporation acquisition of stock of FruitSmart Inc.docx
51,002 - Veritex Holdings Inc and Liberty Bancshares Inc merger.docx
52,002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx
53,003 - Apollo Group Inc and Carnegie Learning Inc merger.docx
54,003 - Axos Clearing LLC and COR Securities Holdings Inc merger.docx
55,003 - Badger Meter Inc and Racine Federated Inc merger.docx
56,003 - Bank First Corporation and Tomah Bancshares Inc merger.docx
57,003 - Bank of Marin Bancorp and Bank of Napa NA merger.docx
58,003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx
59,003 - Citizens And Northern Corporation and Covenant Financial Inc merger.docx
60,003 - First Acceptance Corporation dba Acceptance Insurance acquisition of certa.docx
61,003 - First Guaranty Bancshares Inc acquisition of stock of and merger with Unio.docx
62,003 - GFI Brokers Holdco Ltd acquisition of subsidiary stock of CME Group Inc.docx
63,003 - IDEAL Industries Inc acquisition of certain assets and subsidiary equity i.docx
64,003 - Kimball International Inc and Poppin Inc merger.docx
65,003 - Marlin Equity Partners acquisition of certain assets of Compuware Corporat.docx
66,003 - NCI Building Systems Inc and Ply Gem Parent LLC merger.docx
67,003 - NCS Multistage Holdings Inc and Spectrum Tracer Services LLC merger.docx
68,003 - NeoGenomics Inc and Genoptix Inc merger.docx
69,003 - Netsmart Technologies Inc acquisition of equity interests of Barista Opera.docx
70,003 - New Residential Investment Corp acquisition of certain assets of PHH Corpo.docx
71,003 - New Ulm Telecom Inc acquisition of stock of Scott-Rice Telephone Co.docx
72,003 - Nortek Inc acquisition of subsidiary equity interests and certain assets o.docx
73,003 - NSRE Holdings Inc acquisition of stock of Constitution Life Insurance Comp.docx
74,003 - Patriot National Inc acquisition of equity interests of Global HR Research.docx
75,003 - PDC Energy Inc acquisition of certain assets of 299 Resources LLC 299 Prod.docx
76,003 - PEDEVCO Corp and GOM Holdings LLC merger.docx
77,003 - Upland Software Inc and Qvidian Corporation merger.docx
78,003 - VSE Corporation acquisition of stock of Avatas Aerospace Inc Air Parts Hol.docx
79,004 - API Technologies Corp acquisition of stock of Aeroflex  Inmet Inc and Aero.docx
80,004 - Berry Global Inc acquisition of stock of Clopay Plastic Products Company I.docx
81,004 - BGC Partners Inc and Jersey Partners Inc merger.docx
82,004 - Brightcove Inc acquisition of assets of Unicorn Media Inc.docx
83,004 - Brookfield Renewable Energy Partners LP acquisition of assets of Talen Ene.docx
84,004 - Brown And Brown Inc acquisition of certain assets of Hays Companies.docx
85,004 - Cambrian Energy McCommas Bluff III LLC acquisition of equity interests of .docx
86,004 - Canadian Pacific Railway Company and Railroad Acquisition Holdings LLC mer.docx
87,004 - Coupa Software Incorporated and Laurel Parent Holdings Inc dba LLamasoft m.docx
88,004 - EQM Midstream Partners LP acquisition of equity interests of Eureka Midstr.docx
89,004 - Genesco Inc acquisition of assets of Togast LLC Togast Direct LLC TGB Desi.docx
90,004 - Glu Mobile Inc and Cie Games Inc merger.docx
91,004 - Glu Mobile Inc and Griptonite Inc merger.docx
92,004 - Kimura Power LLC acquisition of certain assets of AES Ohio Generation LLC.docx
93,004 - KIT digital Inc acquisition of assets of Sezmi Corporation.docx
94,004 - MGM Growth Properties LLC acquisition of equity interests of Northfield Pa.docx
95,004 - NGK Spark Plug Co Ltd acquisition of equity interests of CAIRE Inc Chart B.docx
96,004 - Northern Oil and Gas Inc acquisition of certain assets of Pivotal Petroleu.docx
97,004 - PDC Energy Inc acquisition of stock of Arris Petroleum Corporation.docx
98,004 - Pinehurst Petroleum LLC and Petroleum Marketers Incorporated merger.docx
99,004 - Prestige Brands Holdings Inc and CB Fleet TopCo LLC merger.docx
100,004 - Quality Systems Inc and EagleDream Health Inc merger.docx
101,004 - Simmons First National Corporation and The Landrum Company merger.docx
102,004 - SunCoke Energy Partners LP acquisition of equity interests of Raven Energy.docx
103,004 - Vista Equity Partners acquisition of certain assets and subsidiary stock o.docx
104,004 - W R Grace And Co acquisition of certain assets and subsidiary equity inter.docx
105,005 - Atlantic Tele-Network Inc acquisition of subsidiary equity interests of Gr.docx
106,005 - BAndG Foods Inc acquisition of certain assets of The J M Smucker Company.docx
107,005 - Banpu Kalnin Ventures acquisition of certain assets of Devon Energy Corpor.docx
108,005 - Bedrock Production LLC acquisition of certain assets of Harvest Oil And Ga.docx
109,005 - Cantel Medical Corp acquisition of assets of Byrne Medical Inc.docx
110,005 - Citizens And Northern Corporation and Monument Bancorp Inc merger.docx
111,005 - Concordia Pharmaceuticals Inc acquisition of certain assets of PBM Pharmac.docx
112,005 - Convergys Corporation and SGS Holdings Inc merger.docx
113,005 - CryoLife Inc and On-X Life Technologies Holdings Inc merger.docx
114,005 - DentaQuest LLC and DCP Holding Company merger.docx
115,005 - Diplomat Pharmacy Inc and LDI Holding Company LLC merger.docx
116,005 - Home BancShares Inc and Broward Financial Holdings Inc merger.docx
117,005 - Houghton Mifflin Harcourt Publishing Company acquisition of certain assets.docx
118,005 - Investcorp acquisition of equity interests of POC USA LLC and POC Sweden A.docx
119,005 - KLX Energy Services Holdings Inc acquisition of equity interests of Motley.docx
120,005 - Laguna Development Corporation and Eagle Holdings LLLP acquisition of equi.docx
121,005 - LiveXLive Media Inc and Slacker Inc merger.docx
122,005 - Lockheed Martin Corporation acquisition of stock of Sikorsky Aircraft Corp.docx
123,005 - Mistras Group Inc acquisition of equity interests of West Penn Non-Destruc.docx
124,005 - PBF Logistics LP acquisition of equity interests of CPI Operations LLC.docx
125,005 - Seacoast Banking Corporation of Florida and First Bank of the Palm Beaches.docx
126,005 - Silicon Valley Technology Partners Inc acquisition of stock of Overland St.docx
127,005 - The Active Network Inc and StarCite Inc merger.docx
128,005 - The J M Smucker Company acquisition of stock of CP APN Inc and merger with.docx
129,005 - Trex Commercial Products Inc acquisition of assets of Staging Concepts Acq.docx
130,005 - Varian Medical Systems Inc acquisition of certain assets and subsidiary eq.docx
131,006 - Benefit Street Partners LLC acquisition of certain assets of Triangle Capi.docx
132,006 - Bridgepoint Development Capital acquisition of stock of Hill International.docx
133,006 - Cantel Medical Corp acquisition of equity interests of Hu-Friedy Mfg Co LL.docx
134,006 - CLS Holdings USA Inc acquisition of equity interests of CannAssist LLC.docx
135,006 - DKGP Energy Terminals LLC acquisition of equity interests of AMID Refined .docx
136,006 - Exact Sciences Corporation and Thrive Earlier Detection Corp merger.docx
137,006 - Fieldwood Energy LLC acquisition of equity interests of SandRidge companie.docx
138,006 - Focus Financial Partners Inc and Loring Ward Holdings Inc merger.docx
139,006 - Gulfport Energy Corporation acquisition of certain assets of Rhino Resourc.docx
140,006 - Innophos Holdings Inc and GenNx Novel Holding Inc merger.docx
141,006 - Inphi Corporation and Cortina Systems Inc merger.docx
142,006 - Leidos Inc acquisition of stock of DYHC Inc.docx
143,006 - Martin Midstream Partners LP acquisition of stock of Martin Transport Inc.docx
144,006 - Merit Medical Systems Inc acquisition of certain assets of Becton Dickinso.docx
145,006 - ModusLink Global Solutions Inc and IWCO Direct Holdings Inc merger.docx
146,006 - NCI Information Systems Inc acquisition of stock of Computech Inc.docx
147,006 - NetSuite Inc and Bronto Software Inc merger.docx
148,006 - Pandora Media Inc and Ticketfly Inc merger.docx
149,006 - Premier Holdings LLC and Advantage Auto MGA LLC acquisition of stock of Me.docx
150,006 - PTC Inc acquisition of stock of Kepware Inc.docx
151,006 - Sonoco Products Company acquisition of equity interests of Thermoform Engi.docx
152,006 - Talen Energy Corporation acquisition of equity interests of MACH Gen LLC.docx
153,006 - The Chefs' Warehouse Inc acquisition of assets of Fells Point Wholesale Me.docx
154,006 - United Insurance Holdings Corp and AmCo Holding Company merger.docx
155,006 - ValueClick Inc and Dotomi Inc merger.docx
156,006 - Worthington Industries Inc acquisition of stock of Angus Industries Inc.docx
157,007 - ACProducts Inc acquisition of equity interests of Masco Cabinetry LLC.docx
158,007 - Alexion Pharmaceuticals Inc and Enobia Pharma Corp merger.docx
159,007 - Arch Capital Group Ltd acquisition of equity interests of United Guaranty .docx
160,007 - Astronics Corporation acquisition of stock of Planesite Holdings Inc.docx
161,007 - Autoliv ASP Inc acquisition of stock of MA-COM Auto Solutions Inc.docx
162,007 - Black Diamond Gathering LLC acquisition of equity interests of Saddle Butt.docx
163,007 - Career Education Corporation acquisition of assets of Trident University I.docx
164,007 - DISH Network Corporation acquisition of certain assets of T-Mobile US Inc .docx
165,007 - Dunes Point Capital LP acquisition of certain assets and subsidiary stock .docx
166,007 - EPOINT Payment Corp acquisition of equity interests of Smartpay Leasing LL.docx
167,007 - Fred's Inc acquisition of certain assets of Rite Aid Corporation.docx
168,007 - GoDaddy Inc acquisition of certain assets of Marchex Inc.docx
169,007 - Golden Entertainment Inc acquisition of equity interests of Colorado Belle.docx
170,007 - Home Bancorp Inc and St Martin Bancshares Inc merger.docx
171,007 - InterCloud Systems Inc acquisition of equity interests of VaultLogix LLC D.docx
172,007 - PAE Incorporated acquisition of stock of CENTRA Technology Inc.docx
173,007 - QEP Resources Inc acquisition of certain assets of JM Cox Resources LP Alp.docx
174,007 - Red Lion Hotels Corporation acquisition of subsidiary stock and certain as.docx
175,007 - Seneca Coal Resources LLC acquisition of equity interests of Cliffs North .docx
176,007 - Signature Group Holdings Inc acquisition of stock of North American Breake.docx
177,007 - Synchrony Financial acquisition of certain assets of PayPal Holdings Inc.docx
178,007 - Tiptree Inc acquisition of equity interests of Smart AutoCare and related .docx
179,007 - TransCanada Facility USA Inc acquisition of Talen Ironwood Holdings LLC.docx
180,007 - Vanguard Natural Resources LLC acquisition of certain assets of Hunt Oil C.docx
181,007 - Verint Systems Inc and Kay Technology Holdings Inc merger.docx
182,007 - WorleyParsons Ltd acquisition of certain assets and subsidiary equity inte.docx
183,008 - Alexion Pharmaceuticals Inc and Syntimmune Inc merger.docx
184,008 - Alkermes plc and Rodin Therapeutics Inc merger.docx
185,008 - Assured Guaranty Ltd acquisition of stock of Radian Asset Assurance Inc.docx
186,008 - CDI Corporation acquisition of equity interests of EdgeRock Technologies L.docx
187,008 - COG Operating LLC acquisition of assets of Reliance Energy-WA LLC and Reli.docx
188,008 - Commerce Union Bancshares Inc and Community First Inc merger.docx
189,008 - Echo Global Logistics Inc acquisition of equity interests of Command Trans.docx
190,008 - Epiq Systems Inc acquisition of equity interests of De Novo Legal LLC.docx
191,008 - Exelon Corporation acquisition of stock of Integrys Energy Services Inc.docx
192,008 - Genesis Energy LP acquisition of subsidiary equity interests of Enterprise.docx
193,008 - Hawaii Electric Light Company Inc acquisition of assets of Hamakua Energy .docx
194,008 - Hyland Software Inc acquisition of certain assets of Allscripts Healthcare.docx
195,008 - JB Hunt Transport Services Inc acquisition of equity interests of Special .docx
196,008 - Luminex Corporation acquisition of subsidiary stock and certain assets of .docx
197,008 - Millennium Trust Company LLC acquisition of certain assets of The Bancorp .docx
198,008 - Nielsen Holding and Finance BV acquisition of equity interests of Gracenot.docx
199,008 - Oil States International Inc acquisition of stock of GEODynamics Inc.docx
200,008 - Parker-Hannifin Corporation acquisition of stock of EMFCO Holdings Incorpo.docx
201,008 - Precision Engineered Products LLC acquisition of stock of PMG Intermediate.docx
202,008 - Repay Holdings Corporation acquisition of equity interests of CPS Payment .docx
203,008 - Royalty Pharma acquisition of certain assets of Ligand Pharmaceuticals Inc.docx
204,008 - Salisbury Bank and Trust Company and Riverside Bank merger.docx
205,008 - The Hillman Companies Inc acquisition of assets of Hargis Industries LP db.docx
206,008 - The KEYW Corporation and Flight Landata Inc merger.docx
207,008 - TriState Capital Holdings Inc acquisition of assets of Chartwell Investmen.docx
208,008 - Weyland Tech Inc acquisition of assets of Push Holdings Inc.docx
209,009 - AmerisourceBergen Corporation and PharMEDium Healthcare Holdings Inc merge.docx
210,009 - AmTrust Financial Services Inc acquisition of stock of Unified Grocers Ins.docx
211,009 - Boise Cascade Company acquisition of certain assets of Georgia-Pacific LLC.docx
212,009 - Connecticut Water Service Inc acquisition of stock of Aqua Maine Inc.docx
213,009 - Emergent BioSolutions Inc acquisition of certain assets of GlaxoSmithKline.docx
214,009 - Guidewire Software Inc and ISCS Inc merger.docx
215,009 - Halifax Media Holdings LLC acquisition of certain assets of The New York T.docx
216,009 - Heartland Payment Systems Inc and TouchNet Information Systems Inc merger.docx
217,009 - Ingevity Arkansas LLC acquisition of certain assets of Georgia-Pacific Che.docx
218,009 - Kainos Capital acquisition of stock of Nutrisystem Inc.docx
219,009 - KBR Inc acquisition of subsidiary stock and certain assets of Honeywell In.docx
220,009 - MKS Instruments Inc acquisition of certain assets of Brooks Automation Inc.docx
221,009 - Neenah Paper Inc acquisition of equity interests of ASP Fibermark LLC.docx
222,009 - NextGen Healthcare Inc and Medfusion Inc merger.docx
223,009 - OmniTRAX Inc acquisition of stock of The Winchester and Western Railroad C.docx
224,009 - Pigments Spain SL acquisition of certain assets and subsidiary equity inte.docx
225,009 - Quest Diagnostics Incorporated acquisition of equity interests of Oxford I.docx
226,009 - River Financial Corporation and PSB Bancshares Inc merger.docx
227,009 - SmartFinancial Inc and Tennessee Bancshares Inc merger.docx
228,009 - Tabula Rasa Healthcare Inc and Prescribe Wellness LLC merger.docx
229,009 - Terramar Retail Centers LLC acquisition of assets of Property Development .docx
230,009 - TETRA Technologies Inc acquisition of equity interests of Swiftwater Energ.docx
231,009 - USA Technologies Inc and Cantaloupe Systems Inc merger.docx
232,009 - USA Truck Inc acquisition of equity interests of Davis Transfer Company In.docx
233,009 - Verso Paper Corp and NewPage Holdings Inc merger.docx
234,009 - White Mountains Insurance Group Ltd acquisition of equity interests of NSM.docx
235,01 - AOC Materials LLC acquisition of certain assets of Ashland Global Holdings .docx
236,01 - B Riley Financial Inc and Wunderlich Investment Company Inc merger.docx
237,01 - Callon Petroleum Company acquisition of certain assets of BSM Energy LP Cru.docx
238,01 - Citrix Systems Inc and Bytemobile Inc merger.docx
239,01 - Clayton Dubilier And Rice LLC acquisition of equity interests of Wilsonart .docx
240,01 - Expedia Inc acquisition of certain assets of Travelocitycom LP and Sabre GL.docx
241,01 - Global Indemnity plc acquisition of stock of American Reliable Insurance Co.docx
242,01 - Great Lakes Dredge And Dock Corporation acquisition of assets of LW Matteso.docx
243,01 - Helen of Troy Texas Corporation and Kaz Inc merger.docx
244,01 - Intensiva Healthcare Corporation acquisition of equity interests of Regency.docx
245,01 - McKesson Corporation and US Oncology Holdings Inc merger.docx
246,01 - SSAndC Technologies Holdings Inc acquisition of certain assets of Thomson R.docx
247,01 - Walter Investment Management Corp acquisition of equity interests of GTCS H.docx
248,010 - Akorn Inc acquisition of assets of Lundbeck Inc.docx
249,010 - Anixter International Inc acquisition of certain assets and subsidiary equ.docx
