deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx,Michael R. Hill,"Harwell Howard Hyne Gabbert & Manner, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E. Brent Hill,"Waller Lansden Dortch & Davis, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christopher M. Phillips,"Waller Lansden Dortch & Davis, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Air Transport Services Group Inc acquisition of equity interests of Omni A.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Air Transport Services Group Inc acquisition of equity interests of Omni A.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert A. Curry,"Conner & Winters, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Allscripts Healthcare Solutions Inc acquisition of subsidiary equity inter.docx,Gary D. Gerstman,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Allscripts Healthcare Solutions Inc acquisition of subsidiary equity inter.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alan F. Denenberg,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,R. Henry Kleeman,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,Joydeep Dasmunshi,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,NA,NA,NA,Leo Law,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,NA,NA,NA,NA,NA,"McDermott, Will & Emery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timothy Melton,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bryan Zair,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Assurant Inc acquisition of stock of GTI Holdings Corp.docx,Gary D. Boss,Clifford Chance US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Assurant Inc acquisition of stock of GTI Holdings Corp.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert S. Rachofsky,Willkie Farr & Gallagher LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Augme Technologies Inc acquisition of assets of Hipcricket Inc.docx,Kevin Friedmann,"Richardson & Patel, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Augme Technologies Inc acquisition of assets of Hipcricket Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daren Nitz,"Vandeberg Johnson & Gandara, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx,Jason M. Jean,Bracewell & Giuliani LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx,NA,NA,Pat Caldwell,Riley Caldwell Cork & Alvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chet A. Fenimore,"Fenimore, Kay, Harrison & Ford, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Cinedigm Corp and Future Today Inc merger.docx,Jonathan Cooperman,Kelley Drye & Warren LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Cinedigm Corp and Future Today Inc merger.docx,NA,NA,Merrill B. Stone,Kelley Drye & Warren LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Cinedigm Corp and Future Today Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard G. J. McDerby,Osborn McDerby LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Cinedigm Corp and Future Today Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaplan Saunders Valente & Beninati LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - CoStar Realty Information Inc and Network Communications Inc merger.docx,Stephen I. Glover,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - CoStar Realty Information Inc and Network Communications Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greg Klein,Irell & Manella LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Ellie Mae Inc and Velocify Inc merger.docx,Lawrence M. Chu,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Ellie Mae Inc and Velocify Inc merger.docx,NA,NA,Michael S. Russell,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Ellie Mae Inc and Velocify Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dave Young,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Ellie Mae Inc and Velocify Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laura Medina,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Equity Bancshares Inc and Kansas Bank Corporation merger.docx,Michael G. Keeley,Norton Rose Fulbright US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Equity Bancshares Inc and Kansas Bank Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew J. Nolan,Foulston Siefkin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Franchise Group Inc and American Freight Group Inc merger.docx,Russell L. Leaf,Willkie Farr & Gallagher LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Franchise Group Inc and American Freight Group Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philip O. Brandes,Mayer Brown LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Full House Resorts Inc acquisition of equity interests of Majestic Mississ.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Full House Resorts Inc acquisition of equity interests of Majestic Mississ.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kim Copp,"Taft, Stettinius & Hollister LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Graco Inc acquisition of equity interests of High Pressure Equipment Holdi.docx,Michael A. Stanchfield,Faegre Baker Daniels LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Graco Inc acquisition of equity interests of High Pressure Equipment Holdi.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Howard L. Ellin,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
