deal,First,MI,Last,Law_Firm,Type
001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx,Michael,R.,Hill,"Harwell Howard Hyne Gabbert & Manner, P.C.",Buyer
001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx,E.,Brent,Hill,"Waller Lansden Dortch & Davis, LLP",Target/Seller
001 - Acadia Healthcare Company Inc acquisition of equity interests of Haven Hos.docx,Christopher,M.,Phillips,"Waller Lansden Dortch & Davis, LLP",Target/Seller
001 - Air Transport Services Group Inc acquisition of equity interests of Omni A.docx,NA,NA,NA,Not disclosed at signing.,Buyer
001 - Air Transport Services Group Inc acquisition of equity interests of Omni A.docx,Robert,A.,Curry,"Conner & Winters, LLP",Target/Seller
001 - Allscripts Healthcare Solutions Inc acquisition of subsidiary equity inter.docx,Gary,D.,Gerstman,Sidley Austin LLP,Buyer
001 - Allscripts Healthcare Solutions Inc acquisition of subsidiary equity inter.docx,Alan,F.,Denenberg,Davis Polk & Wardwell LLP,Target/Seller
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,R.,Henry,Kleeman,Kirkland & Ellis LLP,Buyer
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,Joydeep,NA,Dasmunshi,Kirkland & Ellis LLP,Buyer
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,NA,Leo Law,Buyer
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,NA,NA,NA,"McDermott, Will & Emery",Buyer
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,Timothy,NA,Melton,Jones Day,Target/Seller
001 - American Builders And Contractors Supply Co Inc acquisition of stock of LA.docx,Bryan,NA,Zair,Jones Day,Target/Seller
001 - Assurant Inc acquisition of stock of GTI Holdings Corp.docx,Gary,D.,Boss,Clifford Chance US LLP,Buyer
001 - Assurant Inc acquisition of stock of GTI Holdings Corp.docx,Robert,S.,Rachofsky,Willkie Farr & Gallagher LLP,Target/Seller
001 - Augme Technologies Inc acquisition of assets of Hipcricket Inc.docx,Kevin,NA,Friedmann,"Richardson & Patel, LLP",Buyer
001 - Augme Technologies Inc acquisition of assets of Hipcricket Inc.docx,Daren,NA,Nitz,"Vandeberg Johnson & Gandara, LLP",Target/Seller
001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx,Jason,M.,Jean,Bracewell & Giuliani LLP,Buyer
001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx,Pat,NA,Caldwell,Riley Caldwell Cork & Alvis,Buyer
001 - BancorpSouth Inc and Ouachita Bancshares Corp merger.docx,Chet,A.,Fenimore,"Fenimore, Kay, Harrison & Ford, LLP",Target/Seller
001 - Cinedigm Corp and Future Today Inc merger.docx,Jonathan,NA,Cooperman,Kelley Drye & Warren LLP,Buyer
001 - Cinedigm Corp and Future Today Inc merger.docx,Merrill,B.,Stone,Kelley Drye & Warren LLP,Buyer
001 - Cinedigm Corp and Future Today Inc merger.docx,NA,NA,NA,Osborn McDerby LLP,Target/Seller
001 - Cinedigm Corp and Future Today Inc merger.docx,NA,NA,NA,Kaplan Saunders Valente & Beninati LLP,Target/Seller
001 - CoStar Realty Information Inc and Network Communications Inc merger.docx,Stephen,I.,Glover,"Gibson, Dunn & Crutcher LLP",Buyer
001 - CoStar Realty Information Inc and Network Communications Inc merger.docx,Greg,NA,Klein,Irell & Manella LLP,Target/Seller
001 - Ellie Mae Inc and Velocify Inc merger.docx,Lawrence,M.,Chu,Goodwin Procter LLP,Buyer
001 - Ellie Mae Inc and Velocify Inc merger.docx,Michael,S.,Russell,Goodwin Procter LLP,Buyer
001 - Ellie Mae Inc and Velocify Inc merger.docx,Dave,NA,Young,Cooley LLP,Target/Seller
001 - Ellie Mae Inc and Velocify Inc merger.docx,Laura,NA,Medina,Cooley LLP,Target/Seller
001 - Equity Bancshares Inc and Kansas Bank Corporation merger.docx,Michael,G.,Keeley,Norton Rose Fulbright US LLP,Buyer
001 - Equity Bancshares Inc and Kansas Bank Corporation merger.docx,Andrew,J.,Nolan,Foulston Siefkin LLP,Target/Seller
001 - Franchise Group Inc and American Freight Group Inc merger.docx,Russell,L.,Leaf,Willkie Farr & Gallagher LLP,Buyer
001 - Franchise Group Inc and American Freight Group Inc merger.docx,Philip,O.,Brandes,Mayer Brown LLP,Target/Seller
001 - Full House Resorts Inc acquisition of equity interests of Majestic Mississ.docx,NA,NA,NA,Not disclosed at signing.,Buyer
