deal,Signing date,Closing date,First,MI.x,Last,Law Firm 1,Type
57 - Zep Inc and Amrep Inc merger.docx,4-Jan-10,4-Jan-10,G.,Roth,Kehoe,Hunton & Williams Llp,Buyer
50 - Bioscrip Inc and Critical Homecare Solutions Holdings Inc merger.docx,24-Jan-10,25-Mar-10,E.,William,Bates,King & Spalding Llp,Buyer
45 - JDS Uniphase Corporation acquisition of certain assets of Agilent Technolog.docx,10-Feb-10,1-May-10,Matthew,R.,Gemello,Baker & Mckenzie Llp,Target/Seller
37 - Cephalon Inc and Ception Therapeutics Inc merger.docx,10-Mar-10,5-Apr-10,Pran,NA,Jha,Sidley Austin LLP,Buyer
36 - Massey Energy Company and Cumberland Resources Corporation merger.docx,16-Mar-10,19-Apr-10,Clifford,A.,Cutchins,Mcguire Woods Llp,Target/Seller
33 - Triumph Group Inc and Vought Aircraft Industries Inc merger.docx,23-Mar-10,16-Jun-10,Daniel,T.,Lennon,Latham & Watkins Llp,Target/Seller
33 - Triumph Group Inc and Vought Aircraft Industries Inc merger.docx,23-Mar-10,16-Jun-10,Paul,F.,Sheridan,Latham & Watkins Llp,Target/Seller
27 - PerkinElmer Inc acquisition of stock of SGL Newco Inc.docx,12-Apr-10,31-May-10,Gordon,H.,Empey,Cooley Godward Kronish Llp,Target/Seller
17 - Clarus Corporation and Gregory Mountain Products Inc merger.docx,7-May-10,1-Jun-10,Robert,L.,Lawrence,Kane Kessler,Buyer
17 - Clarus Corporation and Gregory Mountain Products Inc merger.docx,7-May-10,1-Jun-10,Jeffrey,S.,Tullman,Kane Kessler,Buyer
15 - Cincinnati Bell Inc acquisition of equity interests of Cyrus Networks LLC.docx,12-May-10,11-Jun-10,Robert,I.,Townsend,"Cravath, Swaine & Moore Llp",Buyer
07 - SAVVIS Inc and Fusepoint Inc merger.docx,28-May-10,16-Jun-10,Stephen,O.,Meredith,EdwardsAngell Palmer & Dodge LLP,seller
06 - Acosta Frontline LLC acquisition of certain assets of Alloy Inc.docx,7-Jun-10,7-Jun-10,Dean,G.,Zioze,"Mintz, Levin, Cohn, Ferris, Glovsky And Popeo- Dean G. Zioze",Target/Seller
03 - Albany Molecular Research Inc acquisition of stock of Hyaluron Inc.docx,14-Jun-10,14-Jun-10,Donald,H.,Siegel,Posternak Blankstein & Lund Llp,Target/Seller
01 - Intensiva Healthcare Corporation acquisition of equity interests of Regency.docx,18-Jun-10,1-Sep-10,Richard,W.,Porter,Kirkland & Ellis Llp,Target/Seller
01 - Intensiva Healthcare Corporation acquisition of equity interests of Regency.docx,18-Jun-10,1-Sep-10,Martin,A.,DiLoreto,Kirkland & Ellis Llp,Target/Seller
33 - Medical Action Industries Inc and AVID Medical Inc merger.docx,27-Aug-10,27-Aug-10,Thomas,P.,Rohman,McGuireWoods LLP,Target/Seller
32 - Exelon Corporation acquisition of equity interests of John Deere Renewables.docx,30-Aug-10,9-Dec-10,James,T.,Tynion,Foley & Lardner Llp,Buyer
32 - Exelon Corporation acquisition of equity interests of John Deere Renewables.docx,30-Aug-10,9-Dec-10,Jason,W.,Allen,Foley & Lardner Llp,Buyer
29 - Emdeon Inc and Chamberlin Edmonds And Associates Inc merger.docx,3-Sep-10,1-Oct-10,Kevin,H.,Douglas,"Bass, Berry & Sims Plc",Buyer
29 - Emdeon Inc and Chamberlin Edmonds And Associates Inc merger.docx,3-Sep-10,1-Oct-10,Kevin,H.,Lamar,"Bass, Berry & Sims Plc",Buyer
23 - Global Defense Technology And Systems Inc acquisition of stock of Zytel Cor.docx,13-Sep-10,1-Oct-10,William,M.,Davidow,"Gordon, Feinblatt, Rothman, Hoffberger & Hollander, Llc",Target/Seller
26 - TreeHouse Foods Inc acquisition of stock of ST Specialty Foods Inc.docx,13-Sep-10,28-Oct-10,Stephen,M. L.,Cohenand,"Choate, Hall & Stewart Llp",Target/Seller
26 - TreeHouse Foods Inc acquisition of stock of ST Specialty Foods Inc.docx,13-Sep-10,28-Oct-10,Christian,A.,Atwood,"Choate, Hall & Stewart Llp",Target/Seller
20 - Thor Industries Inc acquisition of stock of Heartland Recreational Vehicles.docx,16-Sep-10,16-Sep-10,Ackneil,M.,Muldrow,Akin Gump Strauss Hauer & Feld Llp,Buyer
19 - BAE Systems Information Solutions Inc acquisition of stock and membership i.docx,19-Sep-10,15-Feb-11,James,R.,Stuart,Crowell & Moring Llp,Buyer
12 - The Gorman-Rupp Company acquisition of assets of National Pump Company LLC.docx,1-Oct-10,1-Oct-10,Anthony,R.,Moore,Jones Day,Buyer
12 - The Gorman-Rupp Company acquisition of assets of National Pump Company LLC.docx,1-Oct-10,1-Oct-10,William,R.,Stewart,Jones Day,Buyer
04 - Easylink Services International Corporation acquisition of subsidiary stock.docx,21-Oct-10,21-Oct-10,Michael,E.,Hollingsworth,Nelson Mullins Riley & Scarborough Llp,Target/Seller
